cyclepoint,hormone,hormz
0.666666667,E2,-0.560647408
0.666666667,P4,1.1515937744157843
0.666666667,LH,0.1044278457749732
0.666666667,FSH,-0.372063485
0.703703704,E2,-0.15913251
0.703703704,P4,0.9300362013081798
0.703703704,LH,-0.372614626
0.703703704,FSH,-0.826156715
0.740740741,E2,0.16318449532895132
0.740740741,P4,1.2368082256110167
0.740740741,LH,-0.232836052
0.740740741,FSH,-1.138650981
0.777777778,E2,0.21659702766009775
0.777777778,P4,1.4242800182405282
0.777777778,LH,-0.445709844
0.777777778,FSH,-1.060527414
0.814814815,E2,0.5002359924530833
0.814814815,P4,1.6799233718262254
0.814814815,LH,-0.5585586
0.814814815,FSH,-1.231422716
0.851851852,E2,0.6291627946317129
0.851851852,P4,1.7651378230214578
0.851851852,LH,-0.668842613
0.851851852,FSH,-1.33884262
0.888888889,E2,0.7765077114072897
0.888888889,P4,1.3901942377624352
0.888888889,LH,-0.544452506
0.888888889,FSH,-1.250953608
0.925925926,E2,0.7396714822133955
0.925925926,P4,0.6198555989575336
0.925925926,LH,-0.331578715
0.925925926,FSH,-0.660144136
0.962962963,E2,0.4818178778561361
0.962962963,P4,0.15458469543156456
0.962962963,LH,-0.389285465
0.962962963,FSH,-0.518545172
1,E2,-0.166499756
1,P4,-0.457255064
1,LH,-0.573947067
1,FSH,1.0341607108154893
0.037037037,E2,-0.94190238
0.037037037,P4,-0.769139956
0.037037037,LH,-0.331578715
0.037037037,FSH,0.9755680359817506
0.074074074,E2,-1.103981789
0.074074074,P4,-0.828790071
0.074074074,LH,-0.321319737
0.074074074,FSH,0.9902162046901849
0.111111111,E2,-1.124241715
0.111111111,P4,-0.847537251
0.111111111,LH,-0.176411674
0.111111111,FSH,0.7070182763271142
0.148148148,E2,-0.849811808
0.148148148,P4,-0.862194136
0.148148148,LH,-0.353379043
0.148148148,FSH,0.633777433
0.185185185,E2,-1.033992953
0.185185185,P4,-0.866966145
0.185185185,LH,-0.209753352
0.185185185,FSH,0.6679564931046221
0.222222222,E2,-0.947427815
0.222222222,P4,-0.864068854
0.222222222,LH,-0.22001233
0.222222222,FSH,0.6191292640765061
0.259259259,E2,-0.894015283
0.259259259,P4,-0.868840863
0.259259259,LH,-0.100751712
0.259259259,FSH,0.16991875701784234
0.296296296,E2,-0.586432769
0.296296296,P4,-0.870204295
0.296296296,LH,-0.125116785
0.296296296,FSH,-0.230464521
0.333333333,E2,-0.643528924
0.333333333,P4,-0.863727996
0.333333333,LH,-0.326449226
0.333333333,FSH,-0.58202057
0.37037037,E2,-0.166499756
0.37037037,P4,-0.870204295
0.37037037,LH,-0.290542803
0.37037037,FSH,-0.562489678
0.407407407,E2,0.813343941
0.407407407,P4,-0.873272015
0.407407407,LH,-0.031503611
0.407407407,FSH,-0.542958787
0.444444444,E2,1.365887378509597
0.444444444,P4,-0.869181721
0.444444444,LH,1.4470715771674865
0.444444444,FSH,0.4872957457005942
0.481481481,E2,3.336625640382937
0.481481481,P4,-0.852650118
0.481481481,LH,4.805604464
0.481481481,FSH,3.6171211264028065
0.518518519,E2,2.0289395039996925
0.518518519,P4,-0.787887135
0.518518519,LH,0.9046281212180757
0.518518519,FSH,0.9023271924395769
0.555555556,E2,-0.341471845
0.555555556,P4,-0.711194129
0.555555556,LH,0.1018631013023992
0.555555556,FSH,-0.142575509
0.592592593,E2,-0.755879423
0.592592593,P4,-0.513496602
0.592592593,LH,-0.166152696
0.592592593,FSH,0.047850684
0.62962963,E2,-0.608534506
0.62962963,P4,-0.01073134
0.62962963,LH,-0.008420911
0.62962963,FSH,0.082029745
0.666666667,E2,-0.127821715
0.666666667,P4,0.5738397953121082
0.666666667,LH,0.046721095142057245
0.666666667,FSH,0.16991875701784234
0.703703704,E2,-0.151765264
0.703703704,P4,1.2879368963281559
0.703703704,LH,-0.429039005
0.703703704,FSH,-0.24511269
0.740740741,E2,0.11161377445749948
0.740740741,P4,1.3731513475233885
0.740740741,LH,-0.202059119
0.740740741,FSH,-0.401359823