cyclepoint,parcel_1,parcel_2,parcel_3,parcel_4,parcel_5,parcel_6,parcel_7,parcel_8,parcel_9,parcel_10,parcel_11,parcel_12,parcel_13,parcel_14,parcel_15,parcel_16,parcel_17,parcel_18,parcel_19,parcel_20,parcel_21,parcel_22,parcel_23,parcel_24,parcel_25,parcel_26,parcel_27,parcel_28,parcel_29,parcel_30,parcel_31,parcel_32,parcel_33,parcel_34,parcel_35,parcel_36,parcel_37,parcel_38,parcel_39,parcel_40,parcel_41,parcel_42,parcel_43,parcel_44,parcel_45,parcel_46,parcel_47,parcel_48,parcel_49,parcel_50,parcel_51,parcel_52,parcel_53,parcel_54,parcel_55,parcel_56,parcel_57,parcel_58,parcel_59,parcel_60,parcel_61,parcel_62,parcel_63,parcel_64,parcel_65,parcel_66,parcel_67,parcel_68,parcel_69,parcel_70,parcel_71,parcel_72,parcel_73,parcel_74,parcel_75,parcel_76,parcel_77,parcel_78,parcel_79,parcel_80,parcel_81,parcel_82,parcel_83,parcel_84,parcel_85,parcel_86,parcel_87,parcel_88,parcel_89,parcel_90,parcel_91,parcel_92,parcel_93,parcel_94,parcel_95,parcel_96,parcel_97,parcel_98,parcel_99,parcel_100
0.071428571,0.123957541,0.119899057,0.037158569,0.083761755,0.046884935,0.07156734,0.184562855,0.171521461,-0.294932553,0.018206101,0.134588288,-0.106938836,-0.291590816,-0.32857398,-0.327845956,0.096210591,-0.184416616,0.223877298,0.165410759,0.383000838,0.118352224,-0.509878754,-0.003440783,0.179050122,-0.299336521,-0.151398081,-0.25209413,-0.235080125,0.14845824,-0.11124167,-0.119359098,-0.204790106,0.01951463,0.500514095,-0.411642795,-0.318116386,-0.137286356,0.171526629,0.275440521,-0.069173876,0.328108438,-0.061429244,-0.005966037,-0.529937045,0.192828251,-0.103106418,0.170508623,0.027345983,-0.586504957,0.008523876,0.104889074,-0.025293575,0.084985215,-0.0317892,-0.335644993,-0.028879417,0.015583677,-0.576976157,0.080955365,0.080543396,0.087576991,-0.118985155,-0.522497218,-0.481132976,-0.040212932,-0.186201309,-0.019368504,-0.025485815,0.405310976,0.635538653,-0.091276471,-0.065646863,-0.121900878,0.067765664,0.169642579,-0.357697882,0.027954866,-0.294989364,-0.070238556,0.098657244,0.405560761,0.722365474,0.19351619,-0.032646804,-0.231421409,0.293907412,0.068717332,-0.234504831,0.027641637,0.750183926,0.264900999,0.389393572,0.471146458,-0.131774157,-0.057440743,-0.142784901,-0.071130664,0.005252804,-0.681143794,0.225166275
0.5,-0.308277979,0.46350405,-0.041702373,0.59769188,0.29937632,-0.28933394,-0.51112583,-0.339813274,-0.356361996,-0.080889843,0.288865025,0.447279706,-0.033367229,0.625886235,0.310799119,-0.023319119,-0.135043909,-0.168398053,0.038096512,-0.181110565,-0.152900809,-0.411490751,0.074782265,0.203048386,0.253067938,0.179871988,-0.127089841,0.116599637,-0.321019869,0.307967206,0.176355122,0.108448795,-0.188070351,-0.171493088,-0.166977772,0.008363641,0.062567102,0.146516105,-0.145450624,-0.305919009,-0.187229594,-0.186295326,-0.047377542,-0.049474543,0.041377178,-0.049444961,0.060170799,-0.160973072,-0.276556584,0.005291326,-0.350538261,-0.258293316,-0.005295741,0.389072586,0.001604169,-0.188299818,-0.519741153,-0.540816793,0.184181491,-0.032953889,-0.309136115,-0.725942952,-0.390083515,0.082686637,0.01728569,0.016294466,-0.314020592,0.048132072,0.08457207,-0.069119159,-0.303158613,-0.005181857,0.047692519,0.034772399,0.080084798,0.05534828,-0.222584989,0.128229098,0.09729229,-0.005989063,-0.186932214,0.314046134,0.163030762,0.089448711,0.070155844,-0.036628923,-0.190600357,0.185222654,0.084562384,-0.203512005,-0.236671723,0.056136712,0.093117522,-0.149238962,-0.386772935,-0.006571902,-0.00788382,-0.087713128,-0.021646335,-0.198640855
0.5,-0.442546829,0.277547426,-0.232789402,0.012463188,0.176785167,-0.202278043,-0.105676603,-0.764114738,-0.516378493,-0.648253604,-0.610682513,-0.614799306,-0.506355236,0.164063655,-0.308989296,-0.073836692,0.229794621,-0.06527571,0.63922651,0.400038372,0.384511718,0.31646077,0.507573843,-0.264140243,-0.406907711,0.029534461,0.25125007,0.109033384,0.046736208,0.416348976,-0.092361676,-0.219029489,-0.023668368,0.272488262,0.246836154,-0.281915419,-0.07585239,-0.366216282,-0.067329576,-0.444702408,-0.141068701,0.082734086,-0.08453608,-0.093247554,-0.196991884,-0.143050229,-0.077687293,-0.077309755,-0.397469159,-0.008923328,-0.148152805,-0.068132005,0.036330996,-0.071118175,-0.015581273,-0.344740432,-0.587216588,-0.356215105,-0.70942562,-0.132857105,-0.522185923,-0.362868971,0.580899927,1.310211561,1.135865811,-0.048662518,-0.306653995,1.084044403,0.26898275,-0.007872511,0.703876695,0.060755238,0.135254378,-0.763723218,0.129298872,0.028888881,-0.004609626,0.157059445,-0.088114435,-0.203312722,-0.823214982,-0.604252443,-0.502516414,-0.307337521,-0.418302567,-0.34584236,-0.216924946,0.114490853,0.238912327,-0.711066389,-0.395891351,-0.450595641,-0.69745305,-0.138968647,-0.265299391,-0.469072512,-0.188652253,-0.472809369,-0.429542469,0.185925851
0.909090909,0.251049294,-0.646884161,-0.321636207,-0.315207301,-0.569268743,-0.174289744,-0.064024403,-0.6482487,-0.554084271,0.051926071,-0.273931915,-0.122801718,0.000549479,-0.672785958,-0.303312869,-0.058963907,0.029980116,-0.304981236,-0.620294304,-0.471132482,-0.613509198,-0.136243893,-0.62173928,0.161200753,0.102538409,-0.148996659,-0.137497003,-0.128434662,-0.408019566,0.098391797,0.060823409,0.162131509,0.11315558,-0.190035908,-0.224483765,0.045727981,0.088157348,0.392665172,0.040002261,0.275112802,0.266598639,0.621959648,0.33961099,-0.029331654,0.082418641,0.121977284,-0.177408355,-0.150022667,0.023878201,0.157317158,0.111289227,-0.329369319,-0.396907792,-0.261794302,-0.562467335,-0.104908062,-0.690506265,-0.402066375,-0.160032271,-0.333623531,-0.075524416,-0.11981382,-0.130755253,-0.495866213,-0.355858121,-0.036429566,-0.24660544,-0.61948057,-0.497349785,-0.340526869,-0.318616847,-0.227719827,-0.562781021,-0.129638078,-0.298446005,-0.092175624,0.075284938,-0.383566007,0.242297166,0.002882009,-0.455997326,-0.270116591,-0.113266499,-0.861908923,-0.325795911,-0.539810651,-0.111234138,-0.224794268,-0.015697175,-0.175946371,0.061735705,0.015032965,-0.057394966,0.419666152,-0.022321939,0.209096572,-0.018300064,-0.203737532,-0.065868017,0.287793711
0.375,-0.14105163,0.006890592,-0.443749477,0.034981775,-0.193816363,-0.075519434,-0.269286271,-0.028042071,-0.249386058,-0.438863144,0.012754025,-0.244777451,-0.010692252,-0.206733819,-0.076775837,0.008302183,0.361223698,-0.04972706,0.627517166,0.602237816,0.01016406,0.036468737,0.226745542,-0.551659948,-0.127499036,0.443636295,-0.02155671,0.124971245,0.111568663,0.278172423,-0.117110936,-0.113157792,-0.090922008,0.114274316,-0.284496223,-0.042876619,-0.187036591,-0.798609546,-1.364736401,-1.132445333,-1.015550242,-0.660081702,-0.774722032,-0.673675138,-0.050069163,-1.076458321,-1.168587859,-0.618091142,-0.437380379,-0.24742509,0.065389815,0.243889996,0.102519811,0.191113508,-0.244490574,0.039991088,-0.083263025,-0.052772791,0.041752864,0.066139401,0.106610482,-0.155483658,0.244452551,0.176976234,0.180970903,-0.123462672,-0.351055871,0.327775311,0.225756454,-0.257913304,0.232636196,0.079725193,0.256230101,-0.209727049,0.382130065,0.524060876,-0.014501966,0.481943793,0.001626918,-0.116212198,-0.302283929,-0.416316521,-0.014289902,-0.118555438,0.051279681,-0.28808952,-0.474865387,0.289689361,0.394161966,-0.661830062,-0.354275258,-0.201526134,-0.390819762,-0.412460996,-0.619272202,-0.651416828,-0.530939576,-0.420750935,-0.297488829,-0.207443155
0.133333333,-0.085737752,0.951601452,0.3945426,0.385834489,0.408070264,0.309353048,0.767036197,0.798446473,0.691271448,-0.149179197,-0.095505512,-0.059431341,0.056010055,-0.136337641,-0.002094939,0.889532694,0.576960964,1.129781305,1.062072449,0.93712117,0.269504872,0.454529624,0.481810065,0.428123608,0.11781208,0.546515643,1.105764535,0.874867256,0.750317098,0.279955313,0.442996388,-0.056476039,0.321616453,1.302805428,0.752690861,1.025283336,0.347974094,-0.181397515,0.242580358,0.269820509,0.079837992,0.956516502,0.623593701,0.298237481,0.758528589,0.734028409,0.835214808,0.919462289,0.469251369,0.322525768,0.263270167,0.672117864,0.959187428,0.571030183,0.587699118,0.293356209,0.419309694,0.428342302,-0.146455222,0.168359826,-0.193550988,-0.201399882,-0.580094954,-0.197725824,-0.166148758,0.031745424,0.152989593,0.014598807,1.307473844,0.680080954,0.262382686,0.490888252,0.251199515,-0.140326629,0.36566097,0.353926952,0.424991736,0.331174956,0.521337272,-0.115947365,1.164877155,0.816936369,1.00235884,1.178910467,0.669892337,1.148411754,0.709097329,1.382593246,1.096225332,0.708814513,0.197094195,0.038240408,-0.037233937,1.217083847,1.048966477,0.483319753,0.824673707,0.822554504,0.453175583,0.40800315
0.166666667,-0.021465211,-0.538020023,0.059764165,-0.472247518,-0.646803758,-0.109328942,-0.111166029,-0.265109154,-0.314937239,-0.285201409,0.001562634,-0.136568358,-0.374476598,-0.462060843,0.264839021,-0.037931504,0.099942081,-0.477317922,-0.278323132,-0.410568254,-0.013830989,-0.036944783,-0.446893459,0.259192621,-0.178490485,0.02604406,-0.768315924,-0.480647029,-0.14155868,-0.189771745,-0.200498757,-0.569951708,-0.063806652,-0.580751121,-0.372218953,-0.133254351,-0.000647084,-0.184974446,-0.415363688,0.018739531,-0.392915631,-0.243795479,-0.343512363,-0.093040188,-0.156684282,-0.43075561,-0.052137032,-0.900231794,0.006858263,0.206942432,0.110457762,-0.463401846,-0.183722218,-0.687045067,-0.557254364,0.025188088,-0.537135186,-0.645263532,-0.180409961,-0.026706233,-0.059026693,-0.016901701,-0.412624729,-0.141290952,-0.022535009,0.075717334,-0.140089833,-0.244798297,-0.352440051,-0.806230392,-0.049169888,-0.094402524,-0.1782354,-0.36231408,0.224170982,-0.28524694,-0.271722769,-0.139424167,-0.401567096,-0.456593079,0.112400172,-0.867634957,-0.685604017,-0.192975092,-0.780637468,-0.416061674,-0.227861621,-0.403569243,-0.453476596,-0.536206949,-0.164239812,-0.328592202,-0.579988139,-0.625209068,-0.322805711,-0.251903717,-0.280538591,-0.806729711,0.199172776,-0.119417929
0.066666667,-0.025001156,1.013982092,0.646733826,0.603243597,0.483273178,0.575218093,0.505677011,0.275326298,0.324576215,0.408007057,0.267092916,0.189153372,0.227256813,-0.155176661,0.132264786,0.370443198,-0.383538573,0.31256747,-0.224000568,0.386742397,-0.058509689,-0.172319518,0.053248666,0.026359292,-0.018288616,0.017777189,0.188836977,0.150745876,-0.126321486,-0.212300907,-0.035183137,-0.225824252,-0.069484922,0.289418797,0.281720324,0.367483912,0.140396929,-0.184577167,-0.059957394,0.213944378,-0.329457068,-0.204595789,0.062562215,-0.095373438,0.315953379,-0.112326811,-0.104267971,0.21826234,0.116726033,-0.010612049,0.259253897,0.810672484,0.520794332,0.626754488,0.671340689,0.291912219,0.581854037,0.270816008,0.412732249,-0.232857821,-0.227168513,0.363171174,0.200603744,0.074856984,-0.236430208,-0.137522644,0.090005247,0.089157787,0.522275072,0.40527122,-0.062350316,0.069702908,0.107202703,0.629452415,-0.044524885,0.327576407,0.029680231,0.055729612,-0.001931051,-0.041325786,0.451692789,0.295913942,0.501440178,0.559051632,0.485330476,0.58206455,0.449979826,0.413829834,0.347732251,0.069559881,-0.053321757,0.11497303,0.39143202,-0.012881323,0.089580492,-0.268519761,0.225398549,0.344075827,-0.035384994,-0.294670388
0.464285714,0.184971824,0.149069308,0.167611692,-0.016493993,0.066219554,0.237325341,0.493633559,-0.20171447,0.167425429,0.389728507,-0.074906619,0.857724333,0.766240851,0.513629822,0.317110966,-0.069118635,0.955594347,-0.016567302,1.076039855,0.303779464,0.618075775,0.305278724,0.471617591,0.608870552,0.086055404,0.363519384,0.079293895,-0.056427057,0.490760542,0.268823779,-0.181580714,0.080271727,0.038943244,-0.284218699,0.068898323,-0.18662423,-0.447659021,-0.112116872,-0.174740998,0.281237212,-0.356652731,-0.067688917,0.056676536,-0.609252602,-0.270969621,-0.165618501,-0.197444077,0.124458714,-0.031013441,-0.896310215,-0.173998424,-0.010463427,0.176397389,-0.023824471,0.107318115,0.240610619,-0.297703191,0.138788263,0.397700499,0.345461554,0.683474146,0.727828467,0.76985106,0.669731177,0.515206059,0.303328517,0.26142546,0.982705414,0.434752423,0.106028186,0.556596381,0.469367,0.444335012,0.370468365,1.135559204,0.535413806,0.198769246,0.273044142,-0.334895532,-0.076909717,0.385825516,-0.036460865,-0.062438961,0.222412769,0.475384392,0.062450291,-0.447711628,-0.02080639,-0.037577557,-0.053001192,-0.266353847,0.125585057,0.171699123,0.172929435,0.026315897,-0.492612089,-0.03485903,0.06047278,-0.352322825,-0.799077093
0.625,-0.164983202,-0.015772418,-0.423941745,-0.020429576,-0.065822761,-0.319012775,-0.17735812,-0.222942659,-0.367918504,-0.422306105,-0.207672122,-0.072184953,-0.277461303,0.083920816,-0.142713643,-0.242923798,-0.159607971,-0.725286928,-0.474161578,0.050630757,-0.038207725,-0.653986229,-0.440332421,-0.189468106,0.004083581,-0.443338567,-0.188012552,-0.238800354,0.206797017,-0.358959925,-0.182258623,0.15572346,-0.216856421,-1.176221076,-1.000739774,-0.443358149,0.133280093,0.346164975,-0.247141975,-0.379263781,0.328629649,-0.081145917,-0.056427556,0.205356506,-0.120614977,0.373831961,-0.542225522,-0.301196845,-0.417585083,0.475376559,0.014259054,-0.318856011,-0.202433576,0.048024457,-0.406146681,-0.22441651,-0.296288222,-0.21000692,-0.606227051,-0.221191292,-0.439032641,-0.441046234,-0.641739741,-0.71793695,-0.233676334,-0.085065659,-0.06161819,-0.847579913,-0.979468025,-0.573060909,0.295071147,-0.613484034,-0.417069107,0.036381024,-0.045339347,-0.390800537,0.303113329,-0.557594033,0.003807069,0.068035395,-0.36547615,0.091907429,-0.120912617,-0.711576691,-0.078602452,-0.310786282,0.26601444,-0.207311904,0.198166188,0.470203586,-0.008528526,0.18828221,0.181260645,-0.106384785,0.028021782,0.349911496,0.582589952,0.182119826,0.11714093,0.678604113
1,0.185175113,-0.638008353,-0.013826938,-0.546536759,-0.248998042,0.354225686,-0.019439545,0.085305341,-0.142604707,0.190494514,0.002201226,0.208222165,0.846326758,0.193422322,0.005793076,0.054550642,0.586917474,-0.070861542,0.103376673,-0.497121177,-0.136362438,0.544444814,0.046164991,-0.367106537,0.167044027,0.004895252,-0.302820027,-0.096020211,0.216151987,0.025757119,0.133519758,-0.010908659,-0.083574187,-0.469759011,0.181157159,-0.214499701,0.147107584,-0.338223012,-0.624410178,-0.174537953,-0.503598021,-0.047200713,0.072444968,-0.342236629,-0.209522923,-0.246862015,-0.473145782,-0.067869871,0.251264103,-0.129098587,0.001306004,-0.256642333,0.033813287,-0.68061452,0.097392936,0.015529425,-0.121925115,-0.398707917,0.3948442,0.769717157,0.579994247,0.94640604,0.724753786,0.450145429,0.134914477,0.019658626,-0.204911721,0.491845487,-0.416650588,-0.38322477,-0.239841978,-0.444552553,-0.111277737,-0.672963839,-0.097985087,-0.080384225,-0.37217267,0.048441559,-0.20104821,-0.022040924,-0.80558225,-0.868174461,-0.64255126,-0.585659113,-0.664221935,-1.110578785,-0.120118271,-0.333151029,-0.399295179,-1.327009768,-0.446131991,-0.092050546,-0.970370725,-0.209605708,-0.413356085,-0.144517794,-0.672059313,-0.265236465,0.721630517,-0.278989507
0.814814815,-0.084943284,-0.06407319,-0.011512437,0.059745282,0.020924321,-0.16644622,0.323057826,0.039679323,0.00873523,-0.069210341,-0.204803293,0.166985835,-0.550830263,-0.077425898,-0.050097287,-0.169477466,0.391198993,-0.142016005,0.054990845,-0.05860677,-0.053036703,0.169932342,0.316906914,0.139121766,0.252042386,0.552497545,0.355569567,0.266275421,0.02942984,0.601394151,-0.49905296,-0.176447814,-0.041259998,-0.569928404,-0.459776262,0.177478767,-0.014096109,-0.324709279,-1.195796544,0.004638872,-0.534311745,-0.530582873,-0.747382103,-0.259250421,-0.319382498,-0.632717473,-0.507338584,-0.56950267,-0.191181252,-0.619517679,0.08870179,0.088100946,-0.082494233,-0.115668984,-0.054751889,-0.116493212,0.011282943,-0.15668218,0.049646092,0.230073178,0.100309281,-0.978551208,-0.550990776,-0.018851517,0.153819732,0.118732854,0.116679444,0.211527027,0.405036826,-0.029923263,0.263547282,0.110896987,0.389219771,0.020742313,0.895910765,0.316684343,0.52551894,0.73392626,-0.293761029,-0.214241671,0.485216063,-0.571369688,0.084573192,0.109086182,0.513597189,0.262084444,0.370610763,0.765746813,-0.092664204,0.077939515,-0.484416363,0.032875863,-0.195185792,-0.259976874,-0.349307171,0.245324607,-0.29833858,-0.065762004,0.020117388,-0.536136484
0.548387097,-0.181771476,0.219612961,0.024406093,0.213039181,-0.026481172,-0.209380374,-0.188990901,-0.040568487,0.098888664,0.252506945,0.309378187,0.493331461,0.500942876,0.447432014,0.283857056,0.360657261,0.807670682,0.452514846,0.571447387,0.409794653,0.131250133,0.535359159,0.451303866,0.678722891,0.193577474,0.659541084,0.434357792,0.535497137,0.056267776,0.522623284,-0.184947515,-0.336557051,-0.091123114,0.553153175,0.354182534,0.494426745,-0.041365775,-0.175266577,-0.173512087,-0.11462388,0.282755939,0.342783312,0.11924392,0.080382045,-0.040320122,0.012741714,0.358706428,-0.066717714,-0.20289356,0.353266821,-0.401901443,0.031805243,-0.016521057,0.200859369,0.162798412,-0.03775684,0.091541396,0.149241013,0.112101189,0.297108869,0.479507448,0.537216346,0.512417376,1.283159272,1.312129277,0.466509474,0.260741946,0.743068735,0.596499491,0.221245107,0.612052449,0.365817725,0.606365329,0.212296798,0.490810173,0.488723784,0.312527051,0.775729749,-0.389293512,-0.229554699,0.26124784,-0.123546221,0.348858709,0.609634452,0.419386831,0.133737018,-0.006272104,0.353089745,0.192036993,0.112107304,-0.065168177,0.054850756,0.353941485,0.297983047,0.462158416,-0.04392783,0.36265008,-0.101519161,0.217455433,0.55020532
